family,paths,distinct_bytes,model_labels,sample_path,sample_task_order,sample_protocol,caveat
history_factorial_mythrepairs_20260821,2,2,openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/history_factorial_mythrepairs_20260821/noise8_crossmodel_signed_gpt_n5_myth_game_mythrepair/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_signed_gpt_n5_myth_game_mythrepair_000_neutral_rep00_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
history_factorial_own_retries_20260821,10,10,openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/history_factorial_own_retries_20260821/noise8_history_gate_signed_gpt_n5_ownonly_myth_game_mythrepair/gpt-5-nano/myth_game/noisy8_history_gate_signed_gpt_ownonly_twotask_r3/noise8_history_gate_signed_gpt_n5_ownonly_myth_game_mythrepair_003_neutral_rep03_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
history_gate_signed_gpt_n5_20260821,13,13,openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/history_gate_signed_gpt_n5_20260821/noise8_history_gate_signed_gpt_n5_ownonly_game_myth/gpt-5-nano/game_myth/noisy8_history_gate_signed_gpt_ownonly_twotask_r3/noise8_history_gate_signed_gpt_n5_ownonly_game_myth_003_neutral_rep03_memtest_memory_primary_anything.json,"[""game"", ""myth""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
history_gate_signed_gpt_repairs_20260821,2,2,openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/history_gate_signed_gpt_repairs_20260821/noise8_history_gate_signed_gpt_n5_ownonly_myth_game_repair/gpt-5-nano/myth_game/noisy8_history_gate_signed_gpt_ownonly_twotask_r3/noise8_history_gate_signed_gpt_n5_ownonly_myth_game_repair_001_neutral_rep04_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
history_visibility_confirm_gpt_n10_20260821,40,40,openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_private_myth_game/gpt-5-nano/myth_game/noisy8_history_gate_signed_gpt_ownonly_twotask_r3/noise8_history_confirm_gpt_n10_private_myth_game_008_neutral_rep13_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
identity_persistence_confirm_gpt_n10_20260821,20,20,openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_stable/gpt-5-nano/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_stable_000_neutral_rep15.json,"[""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": """", ""history_policy"": ""stable_ids"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
identity_persistence_gemini_screen_20260821,10,10,google/gemini-3.1-flash-lite,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/identity_persistence_gemini_screen_20260821/noise8_identity_persistence_gemini_n5_relative/gemini-3.1-flash-lite/game/noisy8_relative_pair_ids_signed_gpt_game_r3/noise8_identity_persistence_gemini_n5_relative_004_neutral_rep29.json,"[""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": """", ""history_policy"": ""relative_pair_ids"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
memtest_hybrid_smoke,3,1,anthropic/claude-haiku-4.5,data/json/memtest_hybrid_smoke/claude-haiku-4.5/myth_game/memtest_hybrid_smoke_000_neutral_memtest_hybrid_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""hybrid"", ""history_policy"": ""minimal"", ""memory_capacity"": 1, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 2, ""num_turns"": 3, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
memtest_hybrid_sonnet45_2agent_r10_n5,15,5,anthropic/claude-sonnet-4.5,data/json/memtest_hybrid_sonnet45_2agent_r10_n5/claude-sonnet-4.5/myth_game/memtest_hybrid_sonnet45_2agent_r10_n5_004_neutral_rep04_memtest_hybrid_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""hybrid"", ""history_policy"": ""minimal"", ""memory_capacity"": 1, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 2, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
memtest_memoryprimary_smoke,3,1,anthropic/claude-haiku-4.5,data/json/memtest_memoryprimary_smoke/claude-haiku-4.5/myth_game/memtest_memoryprimary_smoke_000_neutral_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""history_policy"": ""minimal"", ""memory_capacity"": 2, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 2, ""num_turns"": 3, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
memtest_memoryprimary_sonnet45_2agent_r10_n5,15,5,anthropic/claude-sonnet-4.5,data/json/memtest_memoryprimary_sonnet45_2agent_r10_n5/claude-sonnet-4.5/myth_game/memtest_memoryprimary_sonnet45_2agent_r10_n5_002_neutral_rep02_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""history_policy"": ""minimal"", ""memory_capacity"": 2, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 2, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
memtest_stateless_smoke,3,1,anthropic/claude-haiku-4.5,data/json/memtest_stateless_smoke/claude-haiku-4.5/myth_game/memtest_stateless_smoke_000_neutral_memtest_stateless_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""stateless"", ""history_policy"": ""minimal"", ""memory_capacity"": 1, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 2, ""num_turns"": 3, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
memtest_stateless_sonnet45_2agent_r10_n5,15,5,anthropic/claude-sonnet-4.5,data/json/memtest_stateless_sonnet45_2agent_r10_n5/claude-sonnet-4.5/myth_game/memtest_stateless_sonnet45_2agent_r10_n5_004_neutral_rep04_memtest_stateless_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""stateless"", ""history_policy"": ""minimal"", ""memory_capacity"": 1, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 2, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
myth_causal_confirm_claude_fixed_prompt,45,15,anthropic/claude-sonnet-4.5,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_003_neutral_rep03.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""num_agents"": 2, ""num_turns"": 8}",
myth_causal_confirm_claude_fixed_prompt_r10,60,20,anthropic/claude-sonnet-4.5,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_000_neutral_rep00.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""num_agents"": 2, ""num_turns"": 10}",
myth_causal_confirm_claude_fixed_prompt_r10_directive_retry,30,10,anthropic/claude-sonnet-4.5,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_000_neutral_rep00_myth_game_directive_anything.json,"[""myth"", ""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 2, ""num_turns"": 10}",
myth_causal_confirm_claude_fixed_prompt_topup,45,15,anthropic/claude-sonnet-4.5,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_topup_001_neutral_rep01.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""num_agents"": 2, ""num_turns"": 8}",
myth_causal_negative2_informed_claude_pilot,27,9,anthropic/claude-sonnet-4.5,data/json/noise_experiments/myth_causal_negative2_informed_claude_pilot/myth_causal_noise_negative2_informed_claude_pilot/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_pilot_000_neutral_rep00.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": true, ""range"": 2.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 8}",
myth_causal_negative2_informed_claude_r10,90,30,anthropic/claude-sonnet-4.5,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_000_neutral_rep00.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": true, ""range"": 2.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10}",
myth_causal_negative2_informed_claude_topup,63,21,anthropic/claude-sonnet-4.5,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_004_neutral_rep04.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": true, ""range"": 2.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 8}",
myth_causal_negative_claude_pilot,27,9,anthropic/claude-sonnet-4.5,data/json/noise_experiments/myth_causal_negative_claude_pilot/myth_causal_noise_negative_claude_pilot/claude-sonnet-4.5/game/noisy_negative_5_myth_causal_8/myth_causal_noise_negative_claude_pilot_002_neutral_rep02.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": false, ""range"": 5.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 8}",
myth_causal_negative_informed_claude_pilot,27,9,anthropic/claude-sonnet-4.5,data/json/noise_experiments/myth_causal_negative_informed_claude_pilot/myth_causal_noise_negative_informed_claude_pilot/claude-sonnet-4.5/game/noisy_negative_5_informed_myth_causal_8/myth_causal_noise_negative_informed_claude_pilot_000_neutral_rep00.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": true, ""range"": 5.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 8}",
myth_causal_neutral_directive_claude_r10_n5,90,30,anthropic/claude-sonnet-4.5,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r10_n5_004_neutral_rep04.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""num_agents"": 2, ""num_turns"": 10}",
myth_causal_neutral_directive_claude_r5,45,15,anthropic/claude-sonnet-4.5,data/json/myth_causal_neutral_directive_claude_r5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r5_001_neutral_rep01.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""num_agents"": 2, ""num_turns"": 5}",
myth_causal_normative_clamped_claude_r10_n5,12,4,anthropic/claude-sonnet-4.5,data/json/myth_causal_normative_clamped_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_normative_clamped_claude_r10_n5_002_neutral_rep02.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""num_agents"": 2, ""num_turns"": 10}",
myth_causal_normative_clamped_gemini31_flashlite_r10_n5,60,20,google/gemini-3.1-flash-lite,data/json/myth_causal_normative_clamped_gemini31_flashlite_r10_n5/gemini-3.1-flash-lite/game/myth_causal_normative_clamped_gemini31_flashlite_r10_n5_000_neutral_rep00.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""num_agents"": 2, ""num_turns"": 10}",
myth_causal_normative_clamped_maxtok4096_claude_r10_n5,6,2,anthropic/claude-sonnet-4.5,data/json/myth_causal_normative_clamped_maxtok4096_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_normative_clamped_maxtok4096_claude_r10_n5_000_neutral_rep00.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""num_agents"": 2, ""num_turns"": 10}",
myth_causal_normative_clean_claude_r10_n5,60,20,anthropic/claude-sonnet-4.5,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_normative_clean_claude_r10_n5_004_neutral_rep04.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""num_agents"": 2, ""num_turns"": 10}",
myth_causal_normative_newprompt_claude_r10_n5,60,20,anthropic/claude-sonnet-4.5,data/json/myth_causal_normative_newprompt_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_normative_newprompt_claude_r10_n5_003_neutral_rep03.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""num_agents"": 2, ""num_turns"": 10}",
myth_causal_screen_claude,45,15,anthropic/claude-sonnet-4.5,data/json/myth_causal_screen_claude/claude-sonnet-4.5/game/myth_causal_screen_claude_001_neutral_rep01.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""num_agents"": 2, ""num_turns"": 8}",
myth_prompt_variants_claude_followup,45,15,anthropic/claude-sonnet-4.5,data/json/myth_prompt_variants_claude_followup/claude-sonnet-4.5/game_myth/myth_prompt_variants_claude_followup_010_neutral_rep01_anything.json,"[""game"", ""myth""]","{""memory_capacity"": 3, ""num_agents"": 2, ""num_turns"": 5}",
myth_prompt_variants_claude_n3,15,5,anthropic/claude-sonnet-4.5,data/json/myth_prompt_variants_claude_n3/claude-sonnet-4.5/game_myth/myth_prompt_variants_claude_n3_001_neutral_anything.json,"[""game"", ""myth""]","{""memory_capacity"": 3, ""num_agents"": 2, ""num_turns"": 3}",
myth_prompt_variants_claude_smoke,9,3,anthropic/claude-sonnet-4.5,data/json/myth_prompt_variants_claude_smoke/claude-sonnet-4.5/game_myth/myth_prompt_variants_claude_smoke_001_neutral_anything.json,"[""game"", ""myth""]","{""memory_capacity"": 3, ""num_agents"": 2, ""num_turns"": 2}",excluded/smoke/repair in name; do not pool
myth_prompt_variants_claude_smoke_remaining,6,2,anthropic/claude-sonnet-4.5,data/json/myth_prompt_variants_claude_smoke_remaining/claude-sonnet-4.5/game_myth/myth_prompt_variants_claude_smoke_remaining_001_neutral_anything.json,"[""game"", ""myth""]","{""memory_capacity"": 3, ""num_agents"": 2, ""num_turns"": 2}",excluded/smoke/repair in name; do not pool
myth_topics,60,15,anthropic/claude-sonnet-4.5|openai/gpt-5-nano,data/json/myth_topics/myth_topics_001_claude-sonnet-4.5_neutral_game_myth_sacred_oaths_and_covenants.json,"[""game"", ""myth""]","{""memory_capacity"": 3, ""num_agents"": 2, ""num_turns"": 30}",
negative_only_crossmodel_defectors_n5_20260825,454,270,anthropic/claude-sonnet-4.5|google/gemini-3.7-flash|openai/gpt-5-nano,data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/claude-sonnet-4.5/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_005_neutral_rep00_memtest_memory_primary_anything.json,"[""game"", ""myth""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""minimal"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10, ""punishment_enabled"": false, ""seed_myth"": false, ""seed_reinject"": false}",
negative_only_crossmodel_reasoning_rerun_20260909,270,270,anthropic/claude-sonnet-4.5|google/gemini-3.7-flash|openai/gpt-5-nano,data/json/noise_experiments/negative_only_crossmodel_reasoning_rerun_20260909/negative_only_reasoning_rerun_population_myth_game_gemini_n5/gemini-3.7-flash/myth_game/noisy8_crossmodel_negative_defectors25_twotask_r3/negative_only_reasoning_rerun_population_myth_game_gemini_n5_008_neutral_rep03_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""myth_injection_mode"": ""partner"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""noise_semantics"": ""communication"", ""num_agents"": 8, ""num_turns"": 10, ""punishment_enabled"": false, ""seed_myth"": false, ""seed_reinject"": false}",
neutral_2026_05_27,90,30,anthropic/claude-sonnet-4.5,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_001_neutral_rep01.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": true, ""range"": 2.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10}",
neutral_2026_05_28,45,15,anthropic/claude-sonnet-4.5,data/json/noise_experiments/neutral_2026_05_28/myth_causal_normative_noise_negative2_informed_claude_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_normative_noise_negative2_informed_claude_r10_n5_004_neutral_rep04_myth_control_anything.json,"[""myth"", ""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": true, ""range"": 2.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10}",
other_fullstate,69,69,anthropic/claude-sonnet-4.5,data/sample/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_000_neutral_rep00_myth_game_directive_anything.json,"[""myth"", ""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 2, ""num_turns"": 10}",
phase2_baseline,135,45,anthropic/claude-sonnet-4.5,data/json/noise_experiments/phase2_baseline/phase2_baseline_neg5/claude-sonnet-4.5/game/phase2_8agent_history3_anon_neg5/phase2_baseline_neg5_005_neutral_rep05.json,"[""game""]","{""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": false, ""range"": 5.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false}",
phase2_pilot,9,3,anthropic/claude-sonnet-4.5,data/json/noise_experiments/phase2_pilot/phase2_pilot_noise_levels/claude-sonnet-4.5/myth_game/phase2_8agent_history3_anon_neg3/phase2_pilot_noise_levels_001_neutral_myth_game_directive_anything.json,"[""myth"", ""game""]","{""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": false, ""range"": 3.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false}",
phase2_seeded,180,60,anthropic/claude-sonnet-4.5,data/json/noise_experiments/phase2_seeded/phase2_seeded_s_end_plus_phase2_8agent_history3_anon_neg5/claude-sonnet-4.5/game/default/phase2_seeded_s_end_plus_017_neutral_rep02_myth_game_directive_anything.json,"[""game""]","{""memory_capacity"": 3, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": true}",
phase2_smoke,3,1,anthropic/claude-sonnet-4.5,data/json/noise_experiments/phase2_smoke/phase2_seeded_s_end_plus_phase2_8agent_history3_anon_neg5/claude-sonnet-4.5/game/default/phase2_seeded_s_end_plus_000_neutral_rep00_myth_game_directive_anything.json,"[""game""]","{""memory_capacity"": 3, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": true}",excluded/smoke/repair in name; do not pool
phase3_baseline,15,5,anthropic/claude-sonnet-4.5,data/json/noise_experiments/phase3_baseline/phase3_seeded_baseline_phase3_8agent_anon_neg5_myth_only/claude-sonnet-4.5/game/default/phase3_seeded_baseline_001_neutral_rep01_myth_game_directive_anything.json,"[""game""]","{""chat_memory_mode"": ""myth_only"", ""memory_capacity"": 3, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
phase3_seeded,39,13,anthropic/claude-haiku-4.5|anthropic/claude-sonnet-4.5,data/json/noise_experiments/phase3_seeded/phase3_seeded_s_end_plus_phase3_8agent_anon_neg5_myth_only/claude-sonnet-4.5/game/default/phase3_seeded_s_end_plus_004_neutral_rep01_myth_game_directive_anything.json,"[""game""]","{""chat_memory_mode"": ""myth_only"", ""memory_capacity"": 3, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": true, ""seed_reinject"": true}",
phase4_baseline,30,10,anthropic/claude-sonnet-4.5,data/json/noise_experiments/phase4_baseline/phase3_seeded_baseline_phase3_8agent_anon_neg5_myth_only/claude-sonnet-4.5/myth_game/default/phase3_seeded_baseline_001_neutral_rep01_myth_game_directive_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""myth_only"", ""memory_capacity"": 3, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
phase4_seeded,60,20,anthropic/claude-sonnet-4.5,data/json/noise_experiments/phase4_seeded/phase3_seeded_s_end_plus_phase3_8agent_anon_neg5_myth_only/claude-sonnet-4.5/myth_game/default/phase3_seeded_s_end_plus_004_neutral_rep01_myth_game_directive_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""myth_only"", ""memory_capacity"": 3, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": true, ""seed_reinject"": true}",
phase4_smoke,6,2,anthropic/claude-haiku-4.5,data/json/noise_experiments/phase4_smoke/phase3_seeded_s_end_plus_phase3_8agent_anon_neg5_myth_only/claude-haiku-4.5/myth_game/default/phase3_seeded_s_end_plus_001_neutral_rep00_myth_game_directive_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""myth_only"", ""memory_capacity"": 3, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": true, ""seed_reinject"": true}",excluded/smoke/repair in name; do not pool
phase5_seeded,33,11,anthropic/claude-sonnet-4.5,data/json/noise_experiments/phase5_seeded/phase3_seeded_s_end_minus_phase3_8agent_anon_neg5_myth_only/claude-sonnet-4.5/game/default/phase3_seeded_s_end_minus_002_neutral_rep02_myth_game_directive_anything.json,"[""game""]","{""chat_memory_mode"": ""myth_only"", ""memory_capacity"": 3, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": true, ""seed_reinject"": true}",
phase6_seeded,30,10,anthropic/claude-sonnet-4.5,data/json/noise_experiments/phase6_seeded/phase3_seeded_s_end_plus_gemini_phase3_8agent_anon_neg5_myth_only/claude-sonnet-4.5/game/default/phase3_seeded_s_end_plus_gemini_000_neutral_rep00_myth_game_directive_anything.json,"[""game""]","{""chat_memory_mode"": ""myth_only"", ""memory_capacity"": 3, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": true, ""seed_reinject"": true}",
